id_achat;date_achat;id_produit;quantité;id_fournisseur;prix_unitaire;délai_livraison_jours
PO001948;18/11/2024;P00221;37;S030;296.95;14
PO001949;02/06/2024;P00207;30;S034;24.89;6
PO001950;22/08/2024;P00465;32;S040;247.4;2
PO001951;17/05/2024;P00171;63;S020;218.41;5
PO001952;01/09/2024;P00492;13;S040;32.2;6
PO001953;09/09/2024;P00828;45;S006;116.53;7
PO001954;03/03/2024;P00341;95;S038;176.28;3
PO001955;10/09/2024;P00677;86;S042;266.28;3
PO001956;31/05/2024;P00608;22;S035;82.87;9
PO001957;05/02/2024;P00456;77;S014;26.27;12
PO001958;17/01/2024;P00037;54;S026;23.61;6
PO001959;06/02/2024;P00202;86;S031;130.2;12
PO001960;23/10/2024;P00628;44;S014;254.93;12
PO001961;02/12/2024;P00575;51;S016;286.24;9
PO001962;18/08/2024;P00004;23;S045;139.89;9
PO001963;29/04/2024;P00812;43;S014;143.87;6
PO001964;17/10/2024;P00318;13;S025;257.43;7
PO001965;20/07/2024;P00569;78;S031;236.68;2
PO001966;27/12/2024;P00290;21;S024;175.55;14
PO001967;03/10/2024;P00594;21;S019;78.8;14
PO001968;10/05/2024;P00454;34;S001;252.89;6
PO001969;31/10/2024;P00275;13;S005;176.66;9
PO001970;11/12/2024;P00580;83;S004;188.87;13
PO001971;24/05/2024;P00307;45;S013;201.6;9
PO001972;23/09/2024;P00943;22;S029;100.69;6
PO001973;20/11/2024;P00497;54;S013;239.45;8
PO001974;12/02/2024;P00575;67;S001;287.56;6
PO001975;06/06/2024;P00956;10;S045;282.89;3
PO001976;03/10/2024;P00056;68;S020;109.34;3
PO001977;13/01/2024;P00626;26;S031;75.44;5
PO001978;26/08/2024;P00660;81;S010;256.24;5
PO001979;03/01/2024;P00634;48;S024;257.03;10
PO001980;22/06/2024;P00821;94;S008;125.14;8
PO001981;27/05/2024;P00962;72;S005;222.2;4
PO001982;01/04/2024;P00089;91;S031;261.56;9
PO001983;07/03/2024;P00935;79;S028;237.85;13
PO001984;20/02/2024;P00604;74;S010;149.27;14
PO001985;06/05/2024;P00290;97;S030;148.46;12
PO001986;24/01/2024;P00824;89;S048;57.91;9
PO001987;24/04/2024;P00695;74;S042;108.92;5
PO001988;05/06/2024;P00603;84;S037;17.39;13
PO001989;17/07/2024;P00017;69;S031;26.35;3
PO001990;30/04/2024;P00969;39;S034;280.61;3
PO001991;21/02/2024;P00351;49;S014;75.66;14
PO001992;23/08/2024;P00391;88;S002;229.91;9
PO001993;18/01/2024;P00865;78;S037;145.4;13
PO001994;06/10/2024;P00746;41;S040;181.92;10
PO001995;03/11/2024;P00285;75;S049;144.24;12
PO001996;09/05/2024;P00416;30;S039;245.94;2
PO001997;09/06/2024;P00196;78;S015;182.22;6
PO001998;27/08/2024;P00929;56;S005;129.67;3
PO001999;15/05/2024;P00803;66;S048;288.36;3
PO002000;16/04/2024;P00156;81;S037;57.82;8
PO002001;04/10/2024;P00997;49;S043;74.95;10
PO002002;26/12/2024;P00214;62;S033;15.4;8
PO002003;06/10/2024;P00357;55;S029;156.6;10
PO002004;08/06/2024;P00650;71;S033;101.41;5
PO002005;26/01/2024;P00984;60;S027;255.15;5
PO002006;02/04/2024;P00173;51;S043;97.43;6
PO002007;19/02/2024;P00969;98;S049;265.33;13
PO002008;16/03/2024;P00872;18;S024;103.82;10
PO002009;24/12/2024;P00684;67;S038;95.4;5
PO002010;28/10/2024;P00895;76;S042;273.32;3
PO002011;27/06/2024;P00889;29;S010;163.29;2
PO002012;02/11/2024;P00109;72;S011;147.22;7
PO002013;11/03/2024;P00856;59;S035;184.26;8
PO002014;16/06/2024;P00512;41;S031;140.23;10
PO002015;17/02/2024;P00124;15;S022;213.44;7
PO002016;16/11/2024;P00899;72;S004;112.72;2
PO002017;05/03/2024;P00590;58;S022;103.7;13
PO002018;28/12/2024;P00449;12;S025;244.56;2
PO002019;29/06/2024;P00753;98;S028;254.56;7
PO002020;05/08/2024;P00477;96;S048;64.92;8
PO002021;19/01/2024;P00741;63;S039;146.52;8
PO002022;18/11/2024;P00526;74;S002;81.78;10
PO002023;17/11/2024;P00891;81;S041;166.25;12
PO002024;29/10/2024;P00104;81;S048;119.48;10
PO002025;29/12/2024;P00451;71;S004;259.23;12
PO002026;28/12/2024;P00090;40;S034;186.27;12
PO002027;23/12/2024;P00387;15;S024;13.28;12
PO002028;12/12/2024;P00702;57;S003;254.59;5
PO002029;11/01/2024;P00381;96;S009;291.37;5
PO002030;09/02/2024;P00605;26;S043;197.24;13
PO002031;14/09/2024;P00249;68;S042;284.43;3
PO002032;18/07/2024;P00875;66;S012;18.76;14
PO002033;07/02/2024;P00018;53;S025;260.53;3
PO002034;01/05/2024;P00051;69;S025;185.0;5
PO002035;25/01/2024;P00799;53;S034;122.25;3
PO002036;01/08/2024;P00930;81;S042;246.04;3
PO002037;17/09/2024;P00657;99;S033;34.98;3
PO002038;15/07/2024;P00710;54;S046;212.33;2
PO002039;01/04/2024;P00673;36;S021;12.41;3
PO002040;28/12/2024;P00272;20;S048;205.42;9
PO002041;14/06/2024;P00877;74;S020;119.86;10
PO002042;01/10/2024;P00329;61;S021;186.06;7
PO002043;18/12/2024;P00578;72;S039;29.99;12
PO002044;13/04/2024;P00073;81;S007;169.77;8
PO002045;29/12/2024;P00402;37;S027;179.54;2
PO002046;04/11/2024;P00749;44;S018;220.07;8
PO002047;02/07/2024;P00786;15;S025;119.34;9
PO002048;08/06/2024;P00589;79;S018;172.27;11
PO002049;23/12/2024;P00338;29;S027;101.47;3
PO002050;26/06/2024;P00726;17;S003;93.64;3
PO002051;12/03/2024;P00526;17;S042;215.25;13
PO002052;28/06/2024;P00571;44;S028;39.47;2
PO002053;11/01/2024;P00428;21;S007;245.26;5
PO002054;19/09/2024;P00547;98;S019;224.45;11
PO002055;20/06/2024;P00771;85;S041;298.76;5
PO002056;26/08/2024;P00089;11;S028;96.74;14
PO002057;03/03/2024;P00199;90;S024;88.13;9
PO002058;12/07/2024;P00827;20;S028;291.83;3
PO002059;04/04/2024;P00915;35;S031;296.95;8
PO002060;09/12/2024;P00176;44;S023;128.0;7
PO002061;25/02/2024;P00781;25;S022;31.27;11
PO002062;14/05/2024;P00316;75;S048;268.51;3
PO002063;30/04/2024;P00390;74;S040;39.02;3
PO002064;04/03/2024;P00531;38;S035;10.68;2
PO002065;21/09/2024;P00239;33;S047;289.52;5
PO002066;09/06/2024;P00473;31;S024;198.69;14
PO002067;19/05/2024;P00530;56;S025;75.46;9
PO002068;16/01/2024;P00667;69;S013;192.38;10
PO002069;19/12/2024;P00624;43;S035;118.37;3
PO002070;06/12/2024;P00738;46;S044;39.77;7
PO002071;26/03/2024;P00069;82;S002;218.3;12
PO002072;30/08/2024;P00402;73;S037;253.54;7
PO002073;01/06/2024;P00584;89;S044;171.86;12
PO002074;08/09/2024;P00757;18;S008;79.56;11
PO002075;16/04/2024;P00685;61;S013;288.79;13
PO002076;01/04/2024;P00867;82;S025;112.08;10
PO002077;05/12/2024;P00394;96;S009;40.69;6
PO002078;03/08/2024;P00559;64;S028;173.09;9
PO002079;22/07/2024;P00248;57;S009;76.83;6
PO002080;10/11/2024;P00096;57;S009;267.19;13
PO002081;11/07/2024;P00051;76;S029;228.37;2
PO002082;02/05/2024;P00399;46;S025;166.43;10
PO002083;15/02/2024;P00458;74;S024;56.86;4
PO002084;05/09/2024;P00492;31;S007;203.35;8
PO002085;03/12/2024;P00809;14;S045;119.49;8
PO002086;19/09/2024;P00733;66;S034;121.02;5
PO002087;16/05/2024;P00563;25;S012;32.13;8
PO002088;06/03/2024;P00452;58;S036;49.02;10
PO002089;21/09/2024;P00932;27;S016;195.72;14
PO002090;20/08/2024;P00295;42;S008;59.99;11
PO002091;03/02/2024;P00932;73;S045;180.61;10
PO002092;11/12/2024;P00439;20;S033;27.21;12
PO002093;14/07/2024;P00576;51;S044;71.8;13
PO002094;16/04/2024;P00372;18;S050;155.92;10
PO002095;15/05/2024;P00233;79;S007;20.26;6
PO002096;16/07/2024;P00384;77;S036;112.04;6
PO002097;01/07/2024;P00858;61;S042;151.07;13
PO002098;01/09/2024;P00140;11;S046;113.79;13
PO002099;09/01/2024;P00412;38;S017;177.17;3
PO002100;17/08/2024;P00436;33;S012;180.37;8
PO002101;25/01/2024;P00714;87;S015;285.82;9
PO002102;08/04/2024;P00126;24;S014;166.6;6
PO002103;09/04/2024;P00027;99;S050;65.68;12
PO002104;02/03/2024;P00287;38;S031;237.02;9
PO002105;16/08/2024;P00327;67;S043;103.96;8
PO002106;14/12/2024;P00640;52;S009;15.04;12
PO002107;24/10/2024;P00433;95;S004;107.91;14
PO002108;03/03/2024;P00814;45;S040;112.46;5
PO002109;22/07/2024;P00029;45;S021;76.59;9
PO002110;28/10/2024;P00614;85;S002;80.41;10
PO002111;19/12/2024;P00784;25;S023;51.0;11
PO002112;26/02/2024;P00330;87;S027;293.06;9
PO002113;21/11/2024;P00786;39;S003;167.43;12
PO002114;25/12/2024;P00538;68;S004;275.31;10
PO002115;23/10/2024;P00814;85;S015;294.4;8
PO002116;08/12/2024;P00052;29;S013;179.4;2
PO002117;27/02/2024;P00261;69;S028;169.75;9
PO002118;09/12/2024;P00127;89;S021;72.93;6
PO002119;04/12/2024;P00087;66;S010;216.72;3
PO002120;10/01/2024;P00983;67;S025;292.34;8
PO002121;17/03/2024;P00150;39;S002;238.39;10
PO002122;03/07/2024;P00751;65;S013;241.49;4
PO002123;10/07/2024;P00864;10;S011;59.18;12
PO002124;16/01/2024;P00833;42;S027;154.34;14
PO002125;12/05/2024;P00994;50;S003;145.87;12
PO002126;24/11/2024;P00607;24;S008;126.24;6
PO002127;28/01/2024;P00672;43;S006;92.48;3
PO002128;21/12/2024;P00196;24;S041;93.23;8
PO002129;07/10/2024;P00598;75;S049;97.83;7
PO002130;16/04/2024;P00838;94;S037;247.02;9
PO002131;08/12/2024;P00872;65;S050;275.22;10
PO002132;27/10/2024;P00033;17;S002;19.29;3
PO002133;28/12/2024;P00064;53;S005;118.39;8
PO002134;19/04/2024;P00088;80;S025;177.55;10
PO002135;07/06/2024;P00529;12;S039;152.76;6
PO002136;23/11/2024;P00358;82;S013;39.65;4
PO002137;30/11/2024;P00580;56;S021;268.42;7
PO002138;27/03/2024;P00099;14;S036;121.75;5
PO002139;13/01/2024;P00206;53;S037;120.34;6
PO002140;05/12/2024;P00554;65;S006;93.9;4
PO002141;06/01/2024;P00629;72;S047;150.72;13
PO002142;24/01/2024;P00147;79;S037;283.58;7
PO002143;26/12/2024;P00962;31;S010;251.18;12
PO002144;24/04/2024;P00381;49;S012;271.96;11
PO002145;03/11/2024;P00743;12;S019;112.22;2
PO002146;29/01/2024;P00039;24;S035;206.83;12
PO002147;12/11/2024;P00965;57;S008;18.67;6
PO002148;05/08/2024;P00153;52;S021;78.56;12
PO002149;29/12/2024;P00971;68;S044;124.04;8
PO002150;12/04/2024;P00460;82;S003;143.45;8
PO002151;03/06/2024;P00675;84;S010;75.14;8
PO002152;23/09/2024;P00287;50;S027;292.81;4
PO002153;05/02/2024;P00103;78;S006;160.32;11
PO002154;12/07/2024;P00238;22;S033;195.65;7
PO002155;29/12/2024;P00298;74;S023;287.21;6
PO002156;09/06/2024;P00131;81;S043;147.17;6
PO002157;27/12/2024;P00323;51;S015;154.29;4
PO002158;05/03/2024;P00344;18;S038;132.14;10
PO002159;27/03/2024;P00164;30;S031;119.73;11
PO002160;14/08/2024;P00174;88;S042;250.68;11
PO002161;11/03/2024;P00739;46;S037;289.82;4
PO002162;08/12/2024;P00756;75;S019;245.83;9
PO002163;03/03/2024;P00248;49;S045;253.52;13
PO002164;14/07/2024;P00989;79;S040;137.03;8
PO002165;20/11/2024;P00984;43;S011;60.29;13
PO002166;13/07/2024;P00187;80;S017;190.82;9
PO002167;14/01/2024;P00281;44;S007;69.02;4
PO002168;04/02/2024;P00429;34;S048;227.57;6
PO002169;04/07/2024;P00857;71;S039;226.95;13
PO002170;17/08/2024;P00500;71;S036;84.44;3
PO002171;19/08/2024;P00830;89;S042;299.71;2
PO002172;19/02/2024;P00878;16;S030;110.29;4
PO002173;24/02/2024;P00912;90;S050;129.59;13
PO002174;11/02/2024;P00731;53;S003;80.03;4
PO002175;23/09/2024;P00460;61;S003;205.73;4
PO002176;17/04/2024;P00193;84;S030;208.28;3
PO002177;09/08/2024;P00300;18;S028;116.89;14
PO002178;19/09/2024;P00447;79;S021;28.22;11
PO002179;18/04/2024;P00329;77;S007;219.5;2
PO002180;08/11/2024;P00061;89;S003;31.83;10
PO002181;28/09/2024;P00147;25;S021;88.38;11
PO002182;31/08/2024;P00022;47;S012;240.73;10
PO002183;28/07/2024;P00802;23;S016;253.59;14
PO002184;05/07/2024;P00158;98;S034;248.84;12
PO002185;25/11/2024;P00397;97;S045;194.85;6
PO002186;12/10/2024;P00564;50;S009;166.32;5
PO002187;24/11/2024;P00419;26;S037;297.78;13
PO002188;25/04/2024;P00170;84;S009;274.35;8
PO002189;20/11/2024;P00574;86;S041;254.75;12
PO002190;09/09/2024;P00660;27;S003;235.23;8
PO002191;28/03/2024;P00341;46;S031;137.97;7
PO002192;29/08/2024;P00613;16;S012;152.41;12
PO002193;31/08/2024;P00461;43;S028;52.17;11
PO002194;12/02/2024;P00264;36;S013;291.81;11
PO002195;23/06/2024;P00665;20;S005;219.69;3
PO002196;30/06/2024;P00901;14;S001;63.86;6
PO002197;27/06/2024;P00355;71;S035;199.34;6
PO002198;01/02/2024;P00774;32;S024;89.05;3
PO002199;12/09/2024;P00659;33;S044;284.46;5
PO002200;28/01/2024;P00144;15;S047;123.16;2
PO002201;25/01/2024;P00147;84;S016;108.63;13
PO002202;17/02/2024;P00994;21;S006;72.93;14
PO002203;15/06/2024;P00038;29;S048;82.57;4
PO002204;12/08/2024;P00215;94;S037;220.39;5
PO002205;19/01/2024;P00086;69;S049;127.55;9
PO002206;03/11/2024;P00792;19;S004;16.35;14
PO002207;31/08/2024;P00697;75;S009;20.85;11
PO002208;15/05/2024;P00613;33;S005;158.96;12
PO002209;16/05/2024;P00991;14;S032;87.66;12
PO002210;12/04/2024;P00954;13;S001;271.44;6
PO002211;09/08/2024;P00428;82;S007;253.74;2
PO002212;01/04/2024;P00824;25;S038;44.19;2
PO002213;17/08/2024;P00920;28;S039;237.9;14
PO002214;15/11/2024;P00548;94;S050;125.68;14
PO002215;03/08/2024;P00210;41;S006;284.9;3
PO002216;15/05/2024;P00659;24;S037;150.57;11
PO002217;21/05/2024;P00746;58;S041;285.73;14
PO002218;03/07/2024;P00846;72;S045;111.39;13
PO002219;05/02/2024;P00656;34;S006;22.29;3
PO002220;07/04/2024;P00998;44;S050;143.54;13
PO002221;22/01/2024;P00166;15;S048;286.52;3
PO002222;14/09/2024;P00910;83;S014;185.42;7
PO002223;20/02/2024;P00213;20;S002;74.36;4
PO002224;29/09/2024;P00817;74;S034;244.99;14
PO002225;27/07/2024;P00910;86;S012;109.21;10
PO002226;25/12/2024;P00165;56;S006;116.52;10
PO002227;11/01/2024;P00613;30;S048;263.01;6
PO002228;15/12/2024;P00295;94;S010;239.23;3
PO002229;02/09/2024;P00046;89;S019;264.48;9
PO002230;07/03/2024;P00143;95;S047;78.58;11
PO002231;26/06/2024;P00115;13;S022;191.22;8
PO002232;26/01/2024;P00513;21;S010;56.26;4
PO002233;19/05/2024;P00605;58;S013;112.91;6
PO002234;08/01/2024;P00654;35;S050;15.41;14
PO002235;25/06/2024;P00139;50;S019;229.91;10
PO002236;01/01/2024;P00590;28;S038;24.49;7
PO002237;19/03/2024;P00094;65;S048;179.44;9
PO002238;09/03/2024;P00866;79;S016;235.44;3
PO002239;13/07/2024;P00446;86;S040;217.0;8
PO002240;07/04/2024;P00104;34;S049;75.59;4
PO002241;15/05/2024;P00104;74;S006;271.59;12
PO002242;29/11/2024;P00085;65;S037;137.6;5
PO002243;24/04/2024;P00322;95;S015;109.24;7
PO002244;03/11/2024;P00124;41;S003;66.84;3
PO002245;22/12/2024;P00817;19;S038;198.78;9
PO002246;13/05/2024;P00930;19;S048;237.15;6
PO002247;29/06/2024;P00565;41;S013;225.79;5
PO002248;25/11/2024;P00328;19;S028;99.76;12
PO002249;07/03/2024;P00519;22;S034;73.94;8
PO002250;07/01/2024;P00427;75;S005;182.06;6
PO002251;07/08/2024;P00378;21;S047;27.92;7
PO002252;17/11/2024;P00362;51;S026;170.8;6
PO002253;14/02/2024;P00959;98;S036;215.94;13
PO002254;02/03/2024;P00879;17;S029;272.45;12
PO002255;09/08/2024;P00673;96;S045;65.59;8
PO002256;27/09/2024;P00404;40;S029;264.98;6
PO002257;29/07/2024;P00216;66;S033;115.41;10
PO002258;14/03/2024;P00830;97;S030;77.43;5
PO002259;20/08/2024;P00379;26;S024;33.97;7
PO002260;01/04/2024;P00677;51;S018;98.73;4
PO002261;30/06/2024;P00526;76;S009;80.93;11
PO002262;29/04/2024;P00079;49;S018;250.26;10
PO002263;22/09/2024;P00652;80;S031;115.78;5
PO002264;08/11/2024;P00251;32;S031;228.89;4
PO002265;01/04/2024;P00232;45;S024;48.58;6
PO002266;05/03/2024;P00356;21;S008;132.21;10
PO002267;18/04/2024;P00732;28;S030;46.82;2
PO002268;26/11/2024;P00429;50;S045;10.21;4
PO002269;11/09/2024;P00132;33;S049;260.05;3
PO002270;01/04/2024;P00179;71;S039;21.48;6
PO002271;11/02/2024;P00697;39;S046;260.49;11
PO002272;05/01/2024;P00578;40;S015;269.76;11
PO002273;16/04/2024;P00773;65;S036;263.29;13
PO002274;29/06/2024;P00153;24;S043;45.12;12
PO002275;03/09/2024;P00396;26;S050;201.53;3
PO002276;30/08/2024;P00609;40;S030;141.97;8
PO002277;11/02/2024;P00410;57;S033;69.57;6
PO002278;25/12/2024;P00412;99;S039;97.42;2
PO002279;20/12/2024;P00292;96;S027;18.88;6
PO002280;02/05/2024;P00405;77;S008;62.53;8
PO002281;16/01/2024;P00004;83;S024;296.47;6
PO002282;05/08/2024;P00319;50;S027;220.92;6
PO002283;13/09/2024;P00030;59;S029;295.59;5
PO002284;25/07/2024;P00381;57;S041;190.59;8
PO002285;18/02/2024;P00699;64;S025;266.03;4
PO002286;14/11/2024;P00517;98;S004;276.78;3
PO002287;10/08/2024;P00300;25;S047;225.19;10
PO002288;12/04/2024;P00799;57;S029;127.43;14
PO002289;19/05/2024;P00468;41;S028;130.46;2
PO002290;28/07/2024;P00322;53;S049;118.37;7
PO002291;29/12/2024;P00696;15;S016;72.07;14
PO002292;07/06/2024;P00794;52;S005;280.29;12
PO002293;22/09/2024;P00634;40;S008;38.59;4
PO002294;04/02/2024;P00820;86;S046;86.6;3
PO002295;10/06/2024;P00883;66;S005;289.15;4
PO002296;18/08/2024;P00550;28;S031;219.49;12
PO002297;04/10/2024;P00993;42;S048;246.02;9
PO002298;19/07/2024;P00023;55;S018;142.85;8
PO002299;08/03/2024;P00364;37;S038;126.29;3
PO002300;30/10/2024;P00719;37;S033;246.98;7
PO002301;11/01/2024;P00324;88;S027;230.0;11
PO002302;15/01/2024;P00433;51;S016;48.86;14
PO002303;29/02/2024;P00846;33;S040;229.42;13
PO002304;29/08/2024;P00887;80;S049;118.9;14
PO002305;06/10/2024;P00389;48;S043;131.92;11
PO002306;25/11/2024;P00028;10;S048;74.74;2
PO002307;30/09/2024;P00937;81;S015;102.57;8
PO002308;30/01/2024;P00468;42;S034;81.46;2
PO002309;08/11/2024;P00245;40;S050;198.61;13
PO002310;12/07/2024;P00959;53;S009;14.17;2
PO002311;18/12/2024;P00404;17;S018;225.46;6
PO002312;18/03/2024;P00239;45;S040;150.28;14
PO002313;11/07/2024;P00464;18;S016;206.92;14
PO002314;19/03/2024;P00254;43;S014;139.74;6
PO002315;10/07/2024;P00716;40;S028;85.04;9
PO002316;05/02/2024;P00675;23;S048;233.91;14
PO002317;03/01/2024;P00438;64;S048;224.25;4
PO002318;18/01/2024;P00995;96;S013;20.67;10
PO002319;27/11/2024;P00010;52;S034;208.18;8
PO002320;08/04/2024;P00262;59;S025;146.67;3
PO002321;08/09/2024;P00035;98;S047;53.52;6
PO002322;10/09/2024;P00374;14;S040;231.0;9
PO002323;24/04/2024;P00388;49;S048;161.76;2
PO002324;23/05/2024;P00545;49;S016;24.56;6
PO002325;02/01/2024;P00508;78;S028;285.51;14
PO002326;09/07/2024;P00766;44;S041;234.42;13
PO002327;10/01/2024;P00272;87;S040;241.72;2
PO002328;08/12/2024;P00269;61;S002;281.26;13
PO002329;20/12/2024;P00637;68;S019;118.43;7
PO002330;06/12/2024;P00007;28;S044;234.47;9
PO002331;11/02/2024;P00881;35;S026;201.83;10
PO002332;28/05/2024;P00048;81;S042;161.62;8
PO002333;13/09/2024;P00526;90;S022;41.84;13
PO002334;03/02/2024;P00264;76;S004;226.87;7
PO002335;07/03/2024;P00574;98;S050;203.18;3
PO002336;30/01/2024;P00459;27;S050;123.53;4
PO002337;19/06/2024;P00252;64;S006;271.51;5
PO002338;14/11/2024;P00527;94;S041;85.47;4
PO002339;08/05/2024;P00854;38;S029;231.21;8
PO002340;12/12/2024;P00336;67;S008;278.62;6
PO002341;27/02/2024;P00093;21;S048;90.52;10
PO002342;19/12/2024;P00154;38;S050;118.13;13
PO002343;19/05/2024;P00110;88;S022;63.48;5
PO002344;28/02/2024;P00197;31;S022;97.9;10
PO002345;30/10/2024;P00698;75;S008;144.06;2
PO002346;11/04/2024;P00071;47;S034;48.82;7
PO002347;15/08/2024;P00833;28;S024;177.82;8
PO002348;21/02/2024;P00950;77;S050;46.84;7
PO002349;24/07/2024;P00402;57;S044;28.41;11
PO002350;21/10/2024;P00992;48;S005;164.59;12
PO002351;17/09/2024;P00932;75;S034;131.59;11
PO002352;18/01/2024;P00096;59;S042;74.64;13
PO002353;18/01/2024;P00755;61;S050;182.85;3
PO002354;04/05/2024;P00804;26;S036;29.24;9
PO002355;26/10/2024;P00023;38;S016;129.16;2
PO002356;20/08/2024;P00215;63;S020;41.46;10
PO002357;28/02/2024;P00954;40;S043;188.26;11
PO002358;13/06/2024;P00976;47;S036;256.66;7
PO002359;23/01/2024;P00761;20;S013;125.46;2
PO002360;07/03/2024;P00207;85;S018;199.65;5
PO002361;23/03/2024;P00976;14;S049;215.99;4
PO002362;09/07/2024;P00181;73;S048;299.71;9
PO002363;11/02/2024;P00291;24;S017;38.64;11
PO002364;19/04/2024;P00862;28;S030;278.67;2
PO002365;19/09/2024;P00467;56;S013;214.69;9
PO002366;10/11/2024;P00492;72;S036;34.88;8
PO002367;18/04/2024;P00895;95;S002;195.24;9
PO002368;02/12/2024;P00522;19;S029;103.45;6
PO002369;06/05/2024;P00989;50;S018;181.5;6
PO002370;23/07/2024;P00143;11;S021;12.79;13
PO002371;13/02/2024;P00163;12;S014;111.07;13
PO002372;02/01/2024;P00525;66;S045;150.86;10
PO002373;28/05/2024;P00967;97;S039;220.91;11
PO002374;06/03/2024;P00429;39;S016;252.72;7
PO002375;04/01/2024;P00717;13;S019;280.81;4
PO002376;19/12/2024;P00928;80;S023;18.26;5
PO002377;31/10/2024;P00425;70;S021;283.4;8
PO002378;08/02/2024;P00853;74;S022;272.27;13
PO002379;09/02/2024;P00069;36;S026;98.72;9
PO002380;07/07/2024;P00661;86;S017;73.86;4
PO002381;16/05/2024;P00331;27;S048;278.18;12
PO002382;11/04/2024;P00084;19;S011;210.13;8
PO002383;07/09/2024;P00573;39;S026;53.55;12
PO002384;18/05/2024;P00063;68;S028;155.27;2
PO002385;10/12/2024;P00446;16;S006;41.01;2
PO002386;05/08/2024;P00073;22;S024;221.97;11
PO002387;24/02/2024;P00078;91;S025;144.75;3
PO002388;07/07/2024;P00779;36;S034;257.21;5
PO002389;07/10/2024;P00653;20;S039;166.77;5
PO002390;11/10/2024;P00745;86;S005;141.77;13
PO002391;13/04/2024;P00729;39;S003;236.28;11
PO002392;04/02/2024;P00713;89;S016;99.17;5
PO002393;15/12/2024;P00371;90;S023;58.6;7
PO002394;20/06/2024;P00883;54;S002;291.33;13
PO002395;19/03/2024;P00429;69;S029;233.18;3
PO002396;22/10/2024;P00971;33;S038;11.48;13
PO002397;15/03/2024;P00350;51;S022;11.3;9
PO002398;12/02/2024;P00091;96;S041;147.83;2
PO002399;14/01/2024;P00049;19;S048;203.25;4
PO002400;18/03/2024;P00888;93;S028;123.6;10
PO002401;07/09/2024;P00607;55;S020;225.33;2
PO002402;27/07/2024;P00845;93;S027;146.36;2
PO002403;19/10/2024;P00068;62;S011;138.94;3
PO002404;15/09/2024;P00189;69;S045;201.05;6
PO002405;05/08/2024;P00098;47;S021;294.78;10
PO002406;21/02/2024;P00409;23;S001;194.34;3
PO002407;18/02/2024;P00505;86;S012;233.57;13
PO002408;30/06/2024;P00489;35;S007;123.8;5
PO002409;01/07/2024;P00197;53;S037;265.92;9
PO002410;11/08/2024;P00618;45;S004;80.19;14
PO002411;31/03/2024;P00093;46;S013;189.3;9
PO002412;11/05/2024;P00773;30;S047;270.62;12
PO002413;08/08/2024;P00196;48;S039;83.18;3
PO002414;17/12/2024;P00815;89;S041;141.12;14
PO002415;22/07/2024;P00973;69;S017;53.38;11
PO002416;16/05/2024;P00369;39;S013;171.14;6
PO002417;21/05/2024;P00014;89;S006;106.83;6
PO002418;01/02/2024;P00071;26;S017;46.29;3
PO002419;08/04/2024;P00105;67;S041;192.8;4
PO002420;16/07/2024;P00919;33;S038;143.55;7
PO002421;18/04/2024;P00355;69;S029;155.78;6
PO002422;20/01/2024;P00382;47;S046;243.24;12
PO002423;20/11/2024;P00909;27;S017;109.44;7
PO002424;22/06/2024;P00356;94;S011;74.29;9
PO002425;06/12/2024;P00911;17;S034;55.13;5
PO002426;26/05/2024;P00434;68;S029;51.55;5
PO002427;24/08/2024;P00043;81;S006;268.22;10
PO002428;05/11/2024;P00117;43;S049;136.92;2
PO002429;22/03/2024;P00631;68;S034;265.0;13
PO002430;15/02/2024;P00259;88;S038;176.07;7
PO002431;31/10/2024;P00572;82;S005;148.9;3
PO002432;26/10/2024;P00174;61;S032;245.58;13
PO002433;22/06/2024;P00679;50;S048;226.51;10
PO002434;15/11/2024;P00897;32;S021;55.7;11
PO002435;09/07/2024;P00892;56;S039;10.39;10
PO002436;04/12/2024;P00133;75;S047;141.04;9
PO002437;14/04/2024;P00082;58;S025;106.74;5
PO002438;27/04/2024;P00057;72;S032;204.94;12
PO002439;27/02/2024;P00583;44;S034;77.08;6
PO002440;14/10/2024;P00548;99;S046;251.62;11
PO002441;26/02/2024;P00112;85;S010;70.57;10
PO002442;02/12/2024;P00770;41;S050;77.28;4
PO002443;18/01/2024;P00593;12;S040;146.88;3
PO002444;06/06/2024;P00589;97;S037;104.66;14
PO002445;05/12/2024;P00641;32;S029;282.67;3
PO002446;12/09/2024;P00650;45;S017;52.27;2
PO002447;16/09/2024;P00962;90;S044;141.65;14
PO002448;24/03/2024;P00132;57;S001;145.0;6
PO002449;23/09/2024;P00297;68;S034;70.5;6
PO002450;11/05/2024;P00512;52;S022;19.52;8
PO002451;11/06/2024;P00645;84;S034;125.17;7
PO002452;02/12/2024;P00606;27;S030;244.92;3
PO002453;08/08/2024;P00587;64;S009;195.67;12
PO002454;23/10/2024;P00513;54;S034;273.71;4
PO002455;23/09/2024;P00678;10;S033;100.84;8
PO002456;13/09/2024;P00802;41;S035;199.91;3
PO002457;15/01/2024;P00329;71;S005;193.13;3
PO002458;31/07/2024;P00745;15;S039;285.04;6
PO002459;17/05/2024;P00615;10;S025;145.35;2
PO002460;16/04/2024;P00211;76;S033;224.8;9
PO002461;08/12/2024;P00557;32;S043;230.97;12
PO002462;09/11/2024;P00323;82;S004;262.16;8
PO002463;05/10/2024;P00376;84;S002;243.36;8
