id_commande;id_produit;quantite;entrepot;date_retour;motif
O007557;P00329;4;Marseille;23/01/2024;Endommage
O025232;P00267;4;Lyon;12/06/2024;Le client a change d'avis
O019365;P00512;7;Lyon;29/06/2024;Le client a change d'avis
O030752;P00073;9;Marseille;06/04/2024;Le client a change d'avis
O011957;P00910;1;Marseille;15/09/2024;Le client a change d'avis
O037318;P00105;6;Lyon;27/10/2024;Endommage
O011683;P00475;8;Paris;24/09/2024;Pas comme decrit
O002492;P00471;6;Lyon;21/01/2024;Mauvais article
O028469;P00996;9;Paris;24/12/2024;Mauvais article
O001809;P00733;3;Marseille;13/01/2025;Endommage
O045617;P00444;9;Lyon;20/01/2025;Endommage
O038025;P00176;9;Lyon;17/05/2024;Pas comme decrit
O002367;P00611;5;Marseille;08/02/2024;Endommage
O006629;P00065;7;Lyon;20/02/2024;Mauvais article
O033302;P00056;5;Paris;23/12/2024;Endommage
O049275;P00658;8;Paris;16/05/2024;Endommage
O020763;P00818;3;Marseille;06/06/2024;Pas comme decrit
O025915;P00472;6;Lyon;29/03/2024;Endommage
O014949;P00499;5;Paris;07/08/2024;Pas comme decrit
O012568;P00579;2;Paris;03/06/2024;Pas comme decrit
O012981;P00612;9;Paris;15/05/2024;Le client a change d'avis
O016236;P00537;4;Paris;28/04/2024;Endommage
O024094;P00668;2;Paris;07/04/2024;Le client a change d'avis
O006258;P00313;5;Marseille;01/03/2024;Mauvais article
O018316;P00301;5;Marseille;24/05/2024;Le client a change d'avis
O018151;P00668;9;Lyon;24/01/2025;Endommage
O044169;P00611;6;Marseille;30/03/2024;Endommage
O037510;P00330;7;Lyon;26/07/2024;Endommage
O039887;P00306;1;Paris;20/11/2024;Pas comme decrit
O021539;P00868;9;Marseille;26/02/2024;Pas comme decrit
O042832;P00029;1;Lyon;16/01/2024;Endommage
O046545;P00083;3;Lyon;24/08/2024;Mauvais article
O018178;P00496;7;Lyon;16/05/2024;Pas comme decrit
O021143;P00251;8;Paris;21/03/2024;Le client a change d'avis
O027553;P00465;9;Lyon;30/10/2024;Mauvais article
O029405;P00677;3;Paris;03/12/2024;Mauvais article
O001060;P00725;3;Paris;22/11/2024;Endommage
O044697;P00314;6;Paris;06/04/2024;Pas comme decrit
O008921;P00161;1;Marseille;07/12/2024;Le client a change d'avis
O046546;P00833;1;Paris;27/05/2024;Pas comme decrit
O021983;P00019;6;Marseille;25/05/2024;Pas comme decrit
O007448;P00639;9;Marseille;20/09/2024;Endommage
O041461;P00093;5;Marseille;21/07/2024;Mauvais article
O028218;P00278;8;Paris;29/03/2024;Mauvais article
O022175;P00272;7;Marseille;10/02/2024;Mauvais article
O000584;P00905;8;Lyon;12/08/2024;Endommage
O001681;P00738;8;Paris;14/08/2024;Le client a change d'avis
O042847;P00494;6;Lyon;10/09/2024;Endommage
O002779;P00693;9;Paris;10/07/2024;Le client a change d'avis
O019316;P00792;4;Marseille;12/09/2024;Mauvais article
O040607;P00830;9;Paris;26/10/2024;Endommage
O003561;P00648;6;Marseille;01/08/2024;Pas comme decrit
O025200;P00924;8;Marseille;12/08/2024;Pas comme decrit
O032733;P00192;5;Lyon;19/07/2024;Le client a change d'avis
O018822;P00546;6;Marseille;24/11/2024;Pas comme decrit
O006177;P00579;2;Lyon;12/05/2024;Endommage
O000948;P00313;5;Marseille;27/09/2024;Le client a change d'avis
O040011;P00527;9;Paris;09/12/2024;Pas comme decrit
O049584;P00732;5;Lyon;13/06/2024;Pas comme decrit
O027440;P00602;6;Marseille;16/01/2025;Pas comme decrit
O011922;P00601;3;Lyon;25/12/2024;Endommage
O036093;P00976;2;Paris;28/01/2024;Pas comme decrit
O024478;P00630;7;Paris;22/04/2024;Le client a change d'avis
O003587;P00772;9;Lyon;12/02/2024;Le client a change d'avis
O010675;P00733;5;Paris;01/09/2024;Pas comme decrit
O043981;P01000;9;Paris;09/11/2024;Le client a change d'avis
O020773;P00609;6;Paris;31/07/2024;Le client a change d'avis
O009261;P00313;6;Paris;31/01/2025;Pas comme decrit
O037517;P00998;8;Paris;16/05/2024;Pas comme decrit
O013979;P00394;8;Marseille;17/02/2024;Pas comme decrit
O040048;P00368;4;Paris;28/09/2024;Pas comme decrit
O005706;P00783;4;Marseille;17/07/2024;Le client a change d'avis
O019414;P00008;1;Lyon;31/08/2024;Endommage
O013206;P00783;8;Lyon;29/12/2024;Mauvais article
O000588;P00777;6;Paris;07/02/2024;Mauvais article
O000666;P00219;8;Paris;26/10/2024;Pas comme decrit
O017501;P00417;3;Marseille;07/12/2024;Endommage
O008386;P00015;4;Lyon;16/03/2024;Le client a change d'avis
O026940;P00666;3;Marseille;17/12/2024;Pas comme decrit
O008804;P00829;4;Lyon;01/12/2024;Le client a change d'avis
O013011;P00557;6;Marseille;10/03/2024;Endommage
O009465;P00659;9;Paris;27/07/2024;Le client a change d'avis
O020207;P00987;4;Marseille;13/05/2024;Endommage
O010625;P00605;3;Paris;22/04/2024;Endommage
O035331;P00899;8;Marseille;24/11/2024;Mauvais article
O042909;P00529;6;Paris;25/06/2024;Mauvais article
O032236;P00937;3;Lyon;08/04/2024;Mauvais article
O038624;P00471;2;Lyon;05/04/2024;Mauvais article
O038349;P00422;1;Paris;19/11/2024;Le client a change d'avis
O033524;P00283;4;Lyon;03/02/2024;Mauvais article
O026953;P00129;6;Lyon;24/09/2024;Pas comme decrit
O036349;P00328;2;Marseille;28/11/2024;Mauvais article
O017058;P00796;1;Marseille;29/11/2024;Pas comme decrit
O012320;P00506;8;Paris;27/09/2024;Mauvais article
O031823;P00536;1;Paris;27/05/2024;Mauvais article
O021154;P00704;6;Lyon;27/04/2024;Pas comme decrit
O045118;P00773;2;Paris;22/11/2024;Mauvais article
O005103;P00744;5;Marseille;18/12/2024;Mauvais article
O029149;P00074;1;Lyon;17/04/2024;Pas comme decrit
O005968;P00354;1;Paris;21/09/2024;Mauvais article
O021096;P00061;8;Paris;27/11/2024;Mauvais article
O013221;P00110;7;Lyon;16/07/2024;Pas comme decrit
O001727;P00401;4;Marseille;21/06/2024;Le client a change d'avis
O030147;P00738;2;Marseille;29/06/2024;Pas comme decrit
O009607;P00937;2;Marseille;15/04/2024;Pas comme decrit
O016560;P00681;4;Lyon;27/10/2024;Pas comme decrit
O040739;P00762;5;Marseille;01/03/2024;Le client a change d'avis
O007341;P00545;9;Marseille;15/07/2024;Le client a change d'avis
O039355;P00074;7;Paris;05/08/2024;Le client a change d'avis
O007276;P00411;8;Marseille;27/12/2024;Mauvais article
O030311;P00317;6;Paris;05/04/2024;Endommage
O046235;P00923;3;Marseille;20/05/2024;Endommage
O024307;P00630;8;Marseille;14/03/2024;Endommage
O006392;P00756;4;Lyon;12/01/2025;Le client a change d'avis
O039951;P00873;7;Marseille;22/08/2024;Pas comme decrit
O021049;P00735;7;Marseille;06/05/2024;Pas comme decrit
O034720;P00843;4;Lyon;11/11/2024;Pas comme decrit
O003009;P00681;4;Lyon;21/02/2024;Endommage
O018082;P00488;8;Marseille;16/01/2025;Pas comme decrit
O031695;P00511;9;Paris;28/09/2024;Endommage
O042687;P00326;2;Paris;18/03/2024;Mauvais article
O011845;P00140;2;Marseille;29/02/2024;Mauvais article
O045955;P00390;2;Lyon;02/06/2024;Endommage
O013606;P00296;6;Lyon;21/10/2024;Pas comme decrit
O045256;P00162;8;Lyon;12/03/2024;Mauvais article
O037985;P00737;8;Marseille;15/05/2024;Pas comme decrit
O029217;P00256;6;Paris;27/06/2024;Mauvais article
O024858;P00338;9;Paris;10/04/2024;Pas comme decrit
O044162;P00475;3;Lyon;26/07/2024;Pas comme decrit
O019197;P00918;8;Lyon;14/07/2024;Pas comme decrit
O005429;P00902;3;Paris;28/09/2024;Le client a change d'avis
O000096;P00162;5;Lyon;06/12/2024;Endommage
O032745;P00549;8;Marseille;05/12/2024;Le client a change d'avis
O027193;P00165;3;Paris;20/05/2024;Mauvais article
O031359;P00831;8;Paris;20/12/2024;Le client a change d'avis
O048855;P00268;7;Lyon;29/08/2024;Endommage
O042618;P00159;9;Paris;12/04/2024;Endommage
O000275;P00624;6;Marseille;29/09/2024;Pas comme decrit
O013922;P00162;5;Paris;03/12/2024;Mauvais article
O015154;P00962;4;Paris;28/06/2024;Mauvais article
O002319;P00460;3;Paris;13/01/2025;Mauvais article
O014118;P00987;7;Paris;18/05/2024;Pas comme decrit
O028783;P00220;7;Lyon;11/08/2024;Mauvais article
O039393;P00856;8;Marseille;21/12/2024;Le client a change d'avis
O016095;P00335;3;Paris;16/03/2024;Le client a change d'avis
O017198;P00219;8;Paris;26/08/2024;Mauvais article
O004766;P00815;8;Paris;27/02/2024;Pas comme decrit
O011838;P00038;5;Lyon;29/08/2024;Pas comme decrit
O006334;P00170;6;Paris;28/05/2024;Le client a change d'avis
O001566;P00460;4;Paris;24/09/2024;Le client a change d'avis
O019382;P00302;7;Marseille;04/01/2025;Le client a change d'avis
O022671;P00850;6;Marseille;05/01/2025;Pas comme decrit
O031257;P00390;8;Marseille;12/12/2024;Mauvais article
O010390;P00514;8;Paris;06/09/2024;Endommage
O047539;P00147;1;Lyon;27/07/2024;Pas comme decrit
O023400;P00983;9;Lyon;26/11/2024;Mauvais article
O016363;P00420;9;Paris;24/05/2024;Endommage
O025487;P00626;1;Marseille;28/10/2024;Le client a change d'avis
O024292;P00212;6;Paris;29/03/2024;Le client a change d'avis
O031507;P00657;4;Lyon;25/05/2024;Le client a change d'avis
O034994;P00313;1;Marseille;10/01/2025;Endommage
O013392;P00421;6;Lyon;22/01/2024;Le client a change d'avis
O046568;P00261;5;Marseille;20/09/2024;Pas comme decrit
O024261;P00290;1;Marseille;04/07/2024;Mauvais article
O021103;P00159;2;Lyon;16/04/2024;Pas comme decrit
O030534;P00948;3;Paris;25/11/2024;Pas comme decrit
O040105;P00742;4;Marseille;02/10/2024;Mauvais article
O004735;P00103;8;Marseille;14/08/2024;Endommage
O035347;P00570;9;Marseille;20/10/2024;Endommage
O013149;P00004;8;Marseille;05/07/2024;Mauvais article
O012007;P00487;3;Marseille;04/06/2024;Endommage
O000556;P00045;3;Lyon;24/11/2024;Pas comme decrit
O046449;P00221;7;Lyon;22/06/2024;Mauvais article
O016097;P00637;7;Marseille;24/03/2024;Mauvais article
O033738;P00090;8;Marseille;04/12/2024;Mauvais article
O007142;P00418;2;Lyon;08/07/2024;Pas comme decrit
O019663;P00533;2;Paris;14/02/2024;Le client a change d'avis
O004891;P00660;3;Paris;25/04/2024;Mauvais article
O001905;P00272;3;Lyon;07/09/2024;Endommage
O034740;P00522;5;Paris;27/02/2024;Le client a change d'avis
O015933;P00599;8;Lyon;05/07/2024;Endommage
O025453;P00024;4;Paris;05/03/2024;Endommage
O037068;P00159;1;Lyon;31/03/2024;Mauvais article
O031719;P00218;7;Lyon;20/09/2024;Endommage
O003807;P00770;5;Lyon;23/11/2024;Mauvais article
O019096;P00782;3;Lyon;29/08/2024;Endommage
O005376;P00848;1;Paris;14/12/2024;Pas comme decrit
O033914;P00117;4;Lyon;22/06/2024;Endommage
O049090;P00132;9;Paris;22/11/2024;Pas comme decrit
O035808;P00843;4;Marseille;05/07/2024;Mauvais article
O044489;P00876;1;Marseille;07/07/2024;Pas comme decrit
O038180;P00300;9;Lyon;07/05/2024;Mauvais article
O003160;P00725;8;Lyon;22/03/2024;Le client a change d'avis
O047221;P00386;1;Lyon;13/10/2024;Mauvais article
O049426;P00779;7;Paris;21/02/2024;Mauvais article
O034096;P00269;2;Paris;30/05/2024;Pas comme decrit
O028639;P00782;7;Paris;28/12/2024;Pas comme decrit
O039563;P00218;5;Marseille;23/01/2025;Pas comme decrit
O032431;P00256;4;Paris;14/11/2024;Le client a change d'avis
O004551;P00916;1;Marseille;13/05/2024;Endommage
O025482;P00001;7;Marseille;19/01/2024;Mauvais article
O021988;P00832;2;Marseille;29/12/2024;Pas comme decrit
O031480;P00864;6;Lyon;11/05/2024;Le client a change d'avis
O012149;P00159;1;Paris;27/06/2024;Endommage
O023906;P00308;4;Lyon;22/11/2024;Le client a change d'avis
O017142;P00976;6;Paris;26/08/2024;Le client a change d'avis
O040567;P00796;8;Lyon;05/01/2025;Endommage
O006978;P00544;4;Paris;14/11/2024;Le client a change d'avis
O043555;P00453;3;Lyon;16/06/2024;Le client a change d'avis
O004627;P00185;1;Lyon;29/10/2024;Le client a change d'avis
O025519;P00171;6;Paris;15/04/2024;Pas comme decrit
O007991;P00185;9;Paris;14/02/2024;Mauvais article
O039213;P00774;6;Lyon;28/05/2024;Pas comme decrit
O026331;P00398;2;Marseille;10/10/2024;Pas comme decrit
O007802;P00399;7;Lyon;26/12/2024;Mauvais article
O022054;P00408;4;Marseille;26/02/2024;Pas comme decrit
O045832;P00644;8;Lyon;15/04/2024;Endommage
O011085;P00610;9;Lyon;13/11/2024;Le client a change d'avis
O041888;P00669;7;Lyon;19/05/2024;Endommage
O027784;P00831;1;Paris;05/03/2024;Le client a change d'avis
O016470;P00814;5;Paris;12/06/2024;Mauvais article
O038337;P00551;9;Paris;11/04/2024;Endommage
O048866;P00929;2;Lyon;31/08/2024;Le client a change d'avis
O016788;P00633;3;Marseille;22/05/2024;Pas comme decrit
O007391;P00995;5;Marseille;13/11/2024;Mauvais article
O001990;P00201;6;Paris;20/06/2024;Mauvais article
O042866;P00975;8;Lyon;25/12/2024;Mauvais article
O005033;P00621;3;Paris;06/09/2024;Mauvais article
O019134;P00981;5;Paris;15/07/2024;Endommage
O036995;P00888;4;Marseille;02/07/2024;Mauvais article
O002854;P00462;2;Marseille;27/06/2024;Mauvais article
O004255;P00457;6;Lyon;02/09/2024;Mauvais article
O000806;P00722;7;Marseille;16/06/2024;Endommage
O041838;P00030;6;Lyon;06/03/2024;Le client a change d'avis
O021586;P00915;5;Paris;07/01/2025;Endommage
O019689;P00481;3;Lyon;04/04/2024;Mauvais article
O043172;P00848;2;Paris;20/01/2024;Pas comme decrit
O026429;P00265;4;Lyon;11/10/2024;Le client a change d'avis
O038065;P00106;1;Marseille;04/01/2025;Le client a change d'avis
O031432;P00072;5;Paris;20/02/2024;Endommage
O021171;P00791;5;Marseille;16/01/2025;Pas comme decrit
O010940;P00585;9;Marseille;14/10/2024;Pas comme decrit
O008309;P00746;2;Marseille;21/03/2024;Endommage
O034343;P00059;3;Marseille;14/05/2024;Le client a change d'avis
O045245;P00277;6;Lyon;18/05/2024;Endommage
O042211;P00124;4;Marseille;02/01/2025;Endommage
O046025;P00654;9;Paris;15/04/2024;Pas comme decrit
O006441;P00993;1;Paris;11/12/2024;Endommage
O031476;P00534;7;Paris;31/05/2024;Mauvais article
O047931;P00276;7;Marseille;15/10/2024;Pas comme decrit
O036983;P00027;9;Paris;14/11/2024;Le client a change d'avis
O037344;P00399;7;Paris;25/02/2024;Pas comme decrit
O010668;P00828;4;Paris;19/01/2024;Mauvais article
O043882;P00587;9;Marseille;03/11/2024;Le client a change d'avis
O044315;P00138;1;Paris;25/03/2024;Le client a change d'avis
O010303;P00131;8;Lyon;12/10/2024;Mauvais article
O008854;P00554;5;Paris;28/01/2025;Pas comme decrit
O001706;P00909;7;Marseille;08/04/2024;Endommage
O042788;P00630;4;Paris;07/03/2024;Pas comme decrit
O037402;P00377;9;Paris;30/05/2024;Endommage
O042807;P00227;7;Lyon;19/10/2024;Le client a change d'avis
O035135;P00008;7;Paris;26/10/2024;Endommage
O046707;P00872;6;Paris;08/03/2024;Le client a change d'avis
O040630;P00912;1;Marseille;26/05/2024;Endommage
O007793;P00061;8;Paris;16/04/2024;Mauvais article
O032204;P00622;4;Lyon;07/11/2024;Pas comme decrit
O005455;P00521;5;Lyon;18/03/2024;Le client a change d'avis
O018751;P00227;2;Marseille;14/10/2024;Le client a change d'avis
O032439;P00964;4;Lyon;26/10/2024;Le client a change d'avis
O006898;P00608;9;Paris;19/03/2024;Endommage
O002579;P00020;4;Lyon;23/09/2024;Endommage
O045074;P00429;5;Paris;13/06/2024;Mauvais article
O006667;P00124;6;Lyon;26/04/2024;Endommage
O025944;P00508;3;Marseille;19/06/2024;Le client a change d'avis
O035731;P00111;1;Marseille;20/11/2024;Mauvais article
O044840;P00461;8;Paris;28/05/2024;Pas comme decrit
O025942;P00839;7;Lyon;11/09/2024;Endommage
O032782;P00559;4;Lyon;13/12/2024;Le client a change d'avis
O001174;P00073;6;Marseille;02/08/2024;Pas comme decrit
O013007;P00825;9;Paris;01/12/2024;Endommage
O035113;P01000;4;Paris;10/01/2025;Endommage
O002886;P00506;5;Marseille;24/08/2024;Endommage
O039907;P00059;8;Paris;16/06/2024;Endommage
O031586;P00425;5;Paris;23/01/2025;Mauvais article
O031294;P00965;2;Paris;07/12/2024;Endommage
O028870;P00079;4;Lyon;04/07/2024;Pas comme decrit
O019698;P00498;3;Lyon;10/05/2024;Mauvais article
O004158;P00464;5;Marseille;05/07/2024;Le client a change d'avis
O010049;P00646;4;Lyon;12/03/2024;Mauvais article
O030358;P00570;8;Paris;30/08/2024;Le client a change d'avis
O006903;P00985;7;Lyon;30/12/2024;Le client a change d'avis
O049644;P00542;1;Paris;21/12/2024;Pas comme decrit
O039764;P00355;8;Paris;05/05/2024;Mauvais article
O026789;P00517;6;Marseille;27/03/2024;Mauvais article
O040845;P00505;3;Marseille;17/03/2024;Mauvais article
O018529;P00695;9;Lyon;06/11/2024;Endommage
O040285;P00696;3;Marseille;10/12/2024;Pas comme decrit
O036604;P00919;7;Marseille;27/05/2024;Endommage
O028685;P00964;1;Lyon;16/01/2025;Le client a change d'avis
O024040;P00284;4;Marseille;19/02/2024;Endommage
O008326;P00897;1;Marseille;28/11/2024;Endommage
O032292;P00571;7;Marseille;21/12/2024;Pas comme decrit
O014860;P00071;3;Paris;19/06/2024;Mauvais article
O000649;P00870;1;Lyon;03/06/2024;Pas comme decrit
O030839;P00060;6;Marseille;11/02/2024;Endommage
O037338;P00080;3;Lyon;12/07/2024;Le client a change d'avis
O018218;P00869;1;Marseille;14/11/2024;Le client a change d'avis
O011073;P00461;8;Lyon;12/04/2024;Mauvais article
O009365;P00170;6;Marseille;10/08/2024;Pas comme decrit
O042843;P00385;7;Marseille;04/02/2024;Le client a change d'avis
O041027;P00576;2;Paris;12/12/2024;Pas comme decrit
O009521;P00365;7;Lyon;14/02/2024;Mauvais article
O038614;P00762;3;Paris;19/11/2024;Endommage
O027793;P00058;9;Lyon;02/05/2024;Mauvais article
O026122;P00958;3;Marseille;24/06/2024;Endommage
O018556;P00917;5;Lyon;15/11/2024;Endommage
O017898;P00332;8;Lyon;22/02/2024;Le client a change d'avis
O016812;P00290;8;Marseille;27/07/2024;Pas comme decrit
O046984;P00221;6;Lyon;25/07/2024;Le client a change d'avis
O038618;P00219;7;Lyon;13/08/2024;Mauvais article
O036876;P00307;1;Marseille;26/09/2024;Pas comme decrit
O010702;P00493;5;Lyon;21/07/2024;Le client a change d'avis
O030450;P00334;4;Paris;28/07/2024;Pas comme decrit
O031469;P00400;8;Paris;23/06/2024;Pas comme decrit
O011319;P00080;9;Paris;23/12/2024;Le client a change d'avis
O013962;P00047;7;Marseille;01/09/2024;Pas comme decrit
O000487;P00771;1;Paris;02/03/2024;Le client a change d'avis
O048425;P00756;6;Lyon;07/02/2024;Le client a change d'avis
O045876;P00579;2;Lyon;18/11/2024;Le client a change d'avis
O000194;P00661;3;Paris;28/05/2024;Mauvais article
O035204;P00977;7;Lyon;22/02/2024;Mauvais article
O013510;P00331;1;Paris;04/09/2024;Endommage
O025621;P00849;2;Paris;27/11/2024;Le client a change d'avis
O045452;P00934;2;Lyon;08/02/2024;Le client a change d'avis
O014385;P00550;5;Marseille;19/03/2024;Mauvais article
O043026;P00598;5;Marseille;26/10/2024;Mauvais article
O037557;P00162;3;Paris;14/11/2024;Mauvais article
O046204;P00943;4;Paris;02/10/2024;Mauvais article
O040994;P00505;6;Paris;24/11/2024;Le client a change d'avis
O020362;P00600;9;Lyon;16/04/2024;Mauvais article
O014048;P00720;8;Lyon;26/11/2024;Endommage
O036861;P00491;2;Paris;23/06/2024;Le client a change d'avis
O030357;P00156;8;Lyon;11/01/2025;Pas comme decrit
O032345;P00738;4;Lyon;20/03/2024;Le client a change d'avis
O023665;P00471;8;Paris;30/03/2024;Pas comme decrit
O041347;P00575;5;Marseille;28/06/2024;Pas comme decrit
O049854;P00805;2;Marseille;14/11/2024;Pas comme decrit
O012952;P00112;2;Marseille;20/02/2024;Endommage
O040197;P00794;7;Lyon;27/04/2024;Le client a change d'avis
O038593;P00405;3;Lyon;27/04/2024;Pas comme decrit
O047664;P00994;4;Marseille;05/11/2024;Mauvais article
O004912;P00458;4;Paris;15/01/2025;Pas comme decrit
O000147;P00120;8;Paris;02/08/2024;Le client a change d'avis
O038075;P00511;3;Lyon;03/11/2024;Endommage
O004306;P00613;5;Marseille;15/01/2025;Endommage
O006190;P00973;4;Paris;18/08/2024;Pas comme decrit
O003507;P00568;1;Paris;30/10/2024;Pas comme decrit
O012339;P00770;7;Lyon;03/12/2024;Le client a change d'avis
O049682;P00604;7;Marseille;01/08/2024;Le client a change d'avis
O004362;P00218;9;Marseille;23/08/2024;Endommage
O042732;P00037;5;Marseille;02/06/2024;Le client a change d'avis
O033930;P00280;8;Paris;21/09/2024;Mauvais article
O033460;P00215;6;Lyon;18/05/2024;Mauvais article
O040627;P00602;3;Lyon;07/09/2024;Pas comme decrit
O037121;P00501;2;Lyon;14/07/2024;Mauvais article
O033136;P00337;9;Paris;24/05/2024;Mauvais article
O000933;P00659;4;Lyon;27/05/2024;Mauvais article
O001189;P00360;6;Paris;04/03/2024;Le client a change d'avis
O030126;P00962;1;Marseille;11/02/2024;Le client a change d'avis
O045534;P00874;5;Lyon;26/05/2024;Mauvais article
O032384;P00922;4;Lyon;20/08/2024;Le client a change d'avis
O015897;P00672;4;Marseille;01/10/2024;Mauvais article
O046649;P00387;9;Lyon;21/09/2024;Endommage
O007453;P00858;3;Marseille;10/01/2025;Pas comme decrit
O043309;P00701;2;Paris;29/07/2024;Le client a change d'avis
O023959;P00355;5;Paris;07/10/2024;Endommage
O035179;P00031;3;Lyon;30/03/2024;Le client a change d'avis
O044541;P00666;2;Paris;11/06/2024;Le client a change d'avis
O007256;P00717;5;Marseille;19/04/2024;Pas comme decrit
O012590;P00329;8;Paris;02/11/2024;Endommage
O010823;P00537;3;Lyon;10/02/2024;Endommage
O021095;P00974;5;Marseille;28/12/2024;Endommage
O038145;P00715;5;Marseille;28/05/2024;Le client a change d'avis
O047184;P00710;6;Marseille;21/11/2024;Mauvais article
O003324;P00217;8;Paris;08/05/2024;Le client a change d'avis
O018944;P00994;9;Paris;03/05/2024;Pas comme decrit
O019937;P00773;3;Marseille;27/01/2024;Pas comme decrit
O046075;P00301;6;Marseille;06/03/2024;Endommage
O007894;P00514;4;Paris;04/06/2024;Mauvais article
O012121;P00083;3;Paris;20/12/2024;Endommage
O028821;P00522;8;Marseille;15/10/2024;Pas comme decrit
O041997;P00216;4;Marseille;01/07/2024;Mauvais article
O031887;P00091;7;Lyon;19/07/2024;Endommage
O001094;P00588;6;Marseille;28/07/2024;Le client a change d'avis
O010579;P00727;9;Paris;26/07/2024;Le client a change d'avis
O033270;P00577;1;Marseille;23/06/2024;Pas comme decrit
O036823;P00643;2;Marseille;15/09/2024;Mauvais article
O008125;P00358;1;Lyon;28/12/2024;Pas comme decrit
O047380;P00935;9;Marseille;25/10/2024;Pas comme decrit
O023756;P00946;6;Lyon;24/11/2024;Pas comme decrit
O005179;P00421;8;Lyon;04/03/2024;Endommage
O047278;P00726;6;Lyon;27/01/2025;Endommage
O007621;P00758;1;Lyon;04/07/2024;Pas comme decrit
O006809;P00137;1;Paris;16/01/2025;Le client a change d'avis
O017249;P00522;1;Paris;21/04/2024;Endommage
O018863;P00849;9;Lyon;22/03/2024;Pas comme decrit
O046871;P00451;3;Lyon;26/09/2024;Pas comme decrit
O026461;P00531;2;Lyon;20/06/2024;Le client a change d'avis
O003553;P00187;8;Lyon;27/04/2024;Le client a change d'avis
O034288;P00776;8;Lyon;29/02/2024;Mauvais article
O047327;P00577;3;Marseille;22/09/2024;Le client a change d'avis
O028533;P00289;1;Lyon;13/06/2024;Pas comme decrit
O004548;P00789;8;Lyon;22/05/2024;Endommage
O015497;P00671;9;Marseille;19/12/2024;Mauvais article
O000521;P00386;8;Paris;29/09/2024;Le client a change d'avis
O031277;P00372;5;Lyon;03/09/2024;Le client a change d'avis
O011384;P00434;4;Marseille;22/10/2024;Le client a change d'avis
O016513;P00122;8;Marseille;20/06/2024;Pas comme decrit
O024457;P00368;7;Paris;01/04/2024;Le client a change d'avis
O022254;P00475;7;Lyon;12/10/2024;Endommage
O039442;P00905;5;Lyon;20/11/2024;Pas comme decrit
O022057;P00444;3;Lyon;01/09/2024;Pas comme decrit
O035936;P00925;1;Paris;29/08/2024;Pas comme decrit
O018739;P00819;5;Lyon;19/09/2024;Le client a change d'avis
O045337;P00590;4;Marseille;31/05/2024;Pas comme decrit
O028060;P00833;1;Marseille;26/01/2025;Endommage
O046040;P00656;6;Marseille;17/05/2024;Le client a change d'avis
O028498;P00577;5;Lyon;03/10/2024;Pas comme decrit
O041992;P00685;6;Lyon;04/11/2024;Pas comme decrit
O027409;P00127;1;Paris;11/01/2025;Pas comme decrit
O041440;P00698;4;Lyon;31/05/2024;Mauvais article
O036068;P00583;9;Paris;31/05/2024;Mauvais article
O023577;P00765;2;Paris;08/10/2024;Le client a change d'avis
O018172;P00361;1;Paris;05/11/2024;Pas comme decrit
O002132;P00125;6;Paris;15/06/2024;Endommage
O048362;P00357;7;Marseille;08/05/2024;Le client a change d'avis
O045797;P00123;9;Marseille;07/11/2024;Pas comme decrit
O043885;P00415;5;Lyon;23/10/2024;Endommage
O023494;P00447;1;Paris;24/12/2024;Le client a change d'avis
O043890;P00243;5;Paris;24/10/2024;Endommage
O030857;P00247;2;Marseille;14/06/2024;Pas comme decrit
O026932;P00392;1;Marseille;22/07/2024;Mauvais article
O015600;P00646;7;Paris;25/07/2024;Le client a change d'avis
O048145;P00627;8;Marseille;22/02/2024;Mauvais article
O020400;P00869;1;Paris;14/12/2024;Endommage
O035161;P00930;6;Marseille;01/12/2024;Le client a change d'avis
O025790;P00661;3;Paris;25/05/2024;Pas comme decrit
O035111;P00326;2;Marseille;26/07/2024;Le client a change d'avis
O009279;P00117;8;Paris;21/08/2024;Pas comme decrit
O049253;P00136;9;Marseille;09/07/2024;Le client a change d'avis
O016532;P00324;3;Paris;21/02/2024;Le client a change d'avis
O033247;P00124;8;Paris;10/12/2024;Pas comme decrit
O043346;P00527;7;Lyon;19/05/2024;Pas comme decrit
O025596;P00791;6;Marseille;28/09/2024;Endommage
O025620;P00546;7;Paris;01/02/2024;Endommage
O031511;P00237;6;Paris;16/11/2024;Mauvais article
O002313;P00773;2;Lyon;08/02/2024;Mauvais article
O003070;P00361;8;Lyon;01/08/2024;Le client a change d'avis
O016492;P00685;7;Lyon;12/04/2024;Le client a change d'avis
O012589;P00508;3;Lyon;20/07/2024;Endommage
O022996;P00316;6;Paris;28/10/2024;Le client a change d'avis
O045678;P00448;8;Lyon;21/05/2024;Endommage
O011203;P00627;6;Paris;14/06/2024;Le client a change d'avis
O013029;P00878;1;Lyon;18/04/2024;Le client a change d'avis
O038130;P00278;6;Marseille;27/08/2024;Pas comme decrit
O004210;P00736;6;Paris;24/04/2024;Le client a change d'avis
O049151;P00406;7;Paris;19/01/2024;Endommage
O026637;P00982;8;Lyon;16/07/2024;Pas comme decrit
O013761;P00081;4;Lyon;01/08/2024;Le client a change d'avis
O013645;P00174;8;Paris;11/04/2024;Endommage
O038035;P00191;8;Lyon;24/05/2024;Endommage
O040576;P00455;1;Marseille;28/07/2024;Pas comme decrit
O026370;P00173;1;Paris;17/11/2024;Le client a change d'avis
